2025;25 grudnia  (czwartek);Bo¿e Narodzenie (pierwszy dzieñ)
2025;26 grudnia  (pi¹tek);Bo¿e Narodzenie (drugi dzieñ)
;;
;;
2026;1 stycznia  (czwartek);Nowy Rok, Œwiêtej Bo¿ej Rodzicielki
2026;6 stycznia  (wtorek);Trzech Króli (Objawienie Pañskie)
2026;5 kwietnia  (niedziela);Wielkanoc
2026;6 kwietnia  (poniedzia³ek);Poniedzia³ek Wielkanocny
2026;1 maja  (pi¹tek);Œwiêto Pracy
2026;3 maja  (niedziela);Œwiêto Konstytucji 3 Maja
2026;24 maja  (niedziela);Zes³anie Ducha Œwiêtego (Zielone Œwi¹tki)
2026;4 czerwca  (czwartek);Bo¿e Cia³o
2026;15 sierpnia  (sobota);Œwiêto Wojska Polskiego, Wniebowziêcie Najœwiêtszej Maryi Panny
2026;1 listopada  (niedziela);Wszystkich Œwiêtych
2026;11 listopada  (Œroda);Œwiêto Niepodleg³oœci
2026;25 grudnia  (pi¹tek);Bo¿e Narodzenie (pierwszy dzieñ)
2026;26 grudnia  (sobota);Bo¿e Narodzenie (drugi dzieñ)
;;
2027;1 stycznia  (pi¹tek);Nowy Rok, Œwiêtej Bo¿ej Rodzicielki
2027;6 stycznia  (Œroda);Trzech Króli (Objawienie Pañskie)
2027;28 marca  (niedziela);Wielkanoc
2027;29 marca  (poniedzia³ek);Poniedzia³ek Wielkanocny
2027;1 maja  (sobota);Œwiêto Pracy
2027;3 maja  (poniedzia³ek);Œwiêto Konstytucji 3 Maja
2027;16 maja  (niedziela);Zes³anie Ducha Œwiêtego (Zielone Œwi¹tki)
2027;27 maja  (czwartek);Bo¿e Cia³o
2027;15 sierpnia  (niedziela);Œwiêto Wojska Polskiego, Wniebowziêcie Najœwiêtszej Maryi Panny
2027;1 listopada  (poniedzia³ek);Wszystkich Œwiêtych
2027;11 listopada  (czwartek);Œwiêto Niepodleg³oœci
2027;25 grudnia  (sobota);Bo¿e Narodzenie (pierwszy dzieñ)
2027;26 grudnia  (niedziela);Bo¿e Narodzenie (drugi dzieñ)
;;
;;
2028;1 stycznia  (sobota);Nowy Rok, Œwiêtej Bo¿ej Rodzicielki
2028;6 stycznia  (czwartek);Trzech Króli (Objawienie Pañskie)
